"car_name"|"car_mileage"|"car_transmission"|"car_location"|"car_price"|"car_instalment_mth_amt"
"2015 Mercedes-Benz A2001.6"|"92,635 km"|"Automatic"|"Selangor"|"83,500"|"RM 915/mo"
"2010 Volkswagen Golf GTi 2.0"|"174,632 km"|"Automatic"|"Selangor"|"47,500"|"RM 521/mo"
"2017 Honda Jazz E i-VTEC 1.5"|"118,070 km"|"Automatic"|"Negeri Sembilan"|"47,800"|"RM 524/mo"
"2016 Toyota Hiace Window 2.5"|"168,953 km"|"Manual"|"Selangor"|"97,400"|"RM 1,067/mo"
"2018 Toyota Harrier Luxury 2.0"|"77,377 km"|"Automatic"|"Johor"|"143,600"|"RM 1,574/mo"
"2016 Honda Jazz E i-VTEC 1.5"|"107,382 km"|"Automatic"|"Melaka"|"46,900"|"RM 514/mo"
"2016 Honda Jazz E i-VTEC 1.5"|"101,509 km"|"Automatic"|"Pulau Pinang"|"47,000"|"RM 515/mo"
"2018 Toyota Camry V 2.5"|"65,498 km"|"Automatic"|"Pulau Pinang"|"115,900"|"RM 1,270/mo"
"2020 Honda Civic TC VTEC Premium 1.5"|"62,141 km"|"Automatic"|"Johor"|"99,000"|"RM 1,085/mo"
"2015 Toyota Vios J 1.5"|"155,508 km"|"Automatic"|"Johor"|"38,200"|"RM 419/mo"
"2017 Honda Civic TC VTEC Premium 1.5"|"111,252 km"|"Automatic"|"Perak"|"77,500"|"RM 849/mo"
"2017 Perodua Bezza Advance Premium 1.3"|"125,066 km"|"Automatic"|"Pulau Pinang"|"33,800"|"RM 370/mo"
"2018 Honda Civic TC VTEC Premium 1.5"|"89,293 km"|"Automatic"|"Johor"|"87,400"|"RM 958/mo"
"2014 Kia Cerato2.0"|"127,421 km"|"Automatic"|"Selangor"|"23,300"|"RM 255/mo"
"2021 Proton X50 Premium 1.5"|"44,823 km"|"Automatic"|"Perak"|"74,400"|"RM 815/mo"
"2017 Perodua Myvi Advance 1.5"|"122,961 km"|"Automatic"|"Pulau Pinang"|"36,800"|"RM 403/mo"
"2015 Toyota Voxy ZS Kirameki Edition 2.0"|"106,430 km"|"Automatic"|"Selangor"|"104,500"|"RM 1,145/mo"
"2017 Honda Jazz V i-VTEC 1.5"|"66,190 km"|"Automatic"|"Perak"|"58,000"|"RM 636/mo"
"2020 Honda HR-V i-VTEC RS 1.8"|"63,702 km"|"Automatic"|"Johor"|"83,800"|"RM 918/mo"
"2012 Toyota Vios J 1.5"|"93,863 km"|"Automatic"|"Sabah"|"22,600"|"RM 248/mo"
"2017 Perodua Myvi SE 1.5"|"126,017 km"|"Automatic"|"Selangor"|"35,800"|"RM 392/mo"
"2018 Honda Civic TC VTEC Premium 1.5"|"92,520 km"|"Automatic"|"Kuala Lumpur"|"89,800"|"RM 984/mo"
"2020 Volkswagen Passat Elegance 2.0"|"60,606 km"|"Automatic"|"Perak"|"123,900"|"RM 1,358/mo"
"2015 Honda Jazz E i-VTEC 1.5"|"104,845 km"|"Automatic"|"Perak"|"41,000"|"RM 449/mo"
"2016 Perodua Myvi SE 1.5"|"141,365 km"|"Automatic"|"Pahang"|"33,000"|"RM 362/mo"
"2020 BMW 320i Sport 2.0"|"104,068 km"|"Automatic"|"Pulau Pinang"|"159,800"|"RM 1,751/mo"
"2019 Proton Saga Standard 1.3"|"79,483 km"|"Automatic"|"Melaka"|"27,200"|"RM 298/mo"
"2018 Toyota Innova X 2.0"|"106,884 km"|"Automatic"|"Perak"|"87,600"|"RM 960/mo"
"2020 Perodua AXIA GXtra 1.0"|"50,452 km"|"Automatic"|"Negeri Sembilan"|"30,900"|"RM 339/mo"
"2022 Perodua Ativa AV 1.0"|"32,329 km"|"Automatic"|"Selangor"|"62,900"|"RM 689/mo"
"2016 Perodua Bezza X Premium 1.3"|"127,772 km"|"Automatic"|"Selangor"|"30,300"|"RM 332/mo"
"2021 Honda Jazz E i-VTEC 1.5"|"51,214 km"|"Automatic"|"Perak"|"69,000"|"RM 756/mo"
"2015 Toyota Vios TRD Sportivo 1.5"|"64,985 km"|"Automatic"|"Sabah"|"38,400"|"RM 421/mo"
"2018 Toyota Sienta V 1.5"|"104,341 km"|"Automatic"|"Selangor"|"61,900"|"RM 678/mo"
"2013 Toyota Vios G 1.5"|"164,763 km"|"Automatic"|"Pulau Pinang"|"27,500"|"RM 301/mo"
"2019 Nissan Serena S-Hybrid High-Way Star 2.0"|"83,349 km"|"Automatic"|"Selangor"|"88,000"|"RM 964/mo"
"2017 Proton Saga Premium 1.3"|"126,735 km"|"Automatic"|"Perak"|"25,000"|"RM 274/mo"
"2017 Toyota Harrier Elegance 2.0"|"72,921 km"|"Automatic"|"Selangor"|"123,500"|"RM 1,353/mo"
"2018 Honda Civic TC VTEC Premium 1.5"|"95,973 km"|"Automatic"|"Kuala Lumpur"|"89,800"|"RM 984/mo"
"2018 Perodua Myvi AV 1.5"|"94,353 km"|"Automatic"|"Kuala Lumpur"|"43,900"|"RM 481/mo"
"2017 Honda Accord i-VTEC VTi-L 2.4"|"127,476 km"|"Automatic"|"Selangor"|"85,500"|"RM 937/mo"
"2019 Perodua Myvi H 1.5"|"89,317 km"|"Automatic"|"Melaka"|"43,800"|"RM 480/mo"
"2019 Perodua Myvi AV 1.5"|"74,103 km"|"Automatic"|"Johor"|"45,800"|"RM 502/mo"
"2019 Honda City E i-VTEC 1.5"|"99,853 km"|"Automatic"|"Selangor"|"58,900"|"RM 645/mo"
"2016 Perodua Bezza X Premium 1.3"|"93,911 km"|"Automatic"|"Melaka"|"30,300"|"RM 332/mo"
"2018 Perodua Myvi AV 1.5"|"96,353 km"|"Automatic"|"Selangor"|"43,900"|"RM 481/mo"
"2019 Perodua Myvi H 1.5"|"93,683 km"|"Automatic"|"Johor"|"42,900"|"RM 470/mo"
"2019 Proton Saga Premium 1.3"|"90,235 km"|"Automatic"|"Perak"|"28,800"|"RM 316/mo"
"2018 Perodua Myvi AV 1.5"|"86,161 km"|"Automatic"|"Melaka"|"43,900"|"RM 481/mo"
"2016 Proton Saga Premium 1.3"|"114,245 km"|"Automatic"|"Perak"|"24,400"|"RM 267/mo"
"2010 Naza Forte SX 1.6"|"117,504 km"|"Automatic"|"Johor"|"14,000"|"RM 153/mo"
"2017 Toyota Innova G 2.0"|"119,562 km"|"Automatic"|"Selangor"|"75,800"|"RM 831/mo"
"2018 Mazda CX-5 SKYACTIV-G GLS 2.0"|"91,392 km"|"Automatic"|"Perak"|"95,800"|"RM 1,050/mo"
"2021 Honda HR-V i-VTEC V 1.8"|"40,356 km"|"Automatic"|"Selangor"|"91,000"|"RM 997/mo"
"2017 Proton Persona Standard 1.6"|"118,077 km"|"Automatic"|"Selangor"|"27,900"|"RM 306/mo"
"2022 Toyota Yaris G 1.5"|"30,333 km"|"Automatic"|"Selangor"|"74,000"|"RM 811/mo"
"2016 Proton Saga Standard 1.3"|"125,287 km"|"Automatic"|"Johor"|"21,800"|"RM 239/mo"
"2012 Toyota Vios J 1.5"|"97,362 km"|"Automatic"|"Selangor"|"25,800"|"RM 283/mo"
"2017 Honda Accord i-VTEC VTi-L 2.4"|"73,394 km"|"Automatic"|"Selangor"|"85,500"|"RM 937/mo"
"2014 Honda City E i-VTEC 1.5"|"175,481 km"|"Automatic"|"Melaka"|"32,800"|"RM 359/mo"
